Level	Date and Time	Source	Event ID	Task Category
Information	20-05-2025 15:11:11	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: Downloads
UtcTime: 2025-05-20 09:41:11.012
ProcessGuid: {2bd09a4a-4d79-682c-2101-000000002300}
ProcessId: 5720
Image: C:\Windows\Explorer.EXE
TargetFilename: C:\Users\mohan\Downloads\dummy.bat
CreationUtcTime: 2025-05-20 09:41:11.012
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 15:01:24	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: -
UtcTime: 2025-05-20 09:31:24.766
ProcessGuid: {2bd09a4a-4beb-682c-bf00-000000002300}
ProcessId: 5476
Image: C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe
TargetFilename: C:\Windows\SystemTemp\__PSScriptPolicyTest_xakhaja5.wep.ps1
CreationUtcTime: 2025-05-20 09:31:24.766
User: NT AUTHORITY\SYSTEM"
Information	20-05-2025 15:01:01	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: -
UtcTime: 2025-05-20 09:30:55.422
ProcessGuid: {2bd09a4a-4bce-682c-4200-000000002300}
ProcessId: 2744
Image: C:\Windows\system32\svchost.exe
TargetFilename: C:\Windows\System32\wbem\Repository\WRITABLE.TST
CreationUtcTime: 2025-05-20 09:30:55.422
User: NT AUTHORITY\SYSTEM"
Information	20-05-2025 15:01:00	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: T1053
UtcTime: 2025-05-20 09:30:48.392
ProcessGuid: {2bd09a4a-4bc8-682c-1b00-000000002300}
ProcessId: 1380
Image: C:\Windows\system32\svchost.exe
TargetFilename: C:\Windows\Tasks\SA.DAT
CreationUtcTime: 2025-03-30 05:23:04.934
User: NT AUTHORITY\SYSTEM"
Information	20-05-2025 14:47:35	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: -
UtcTime: 2025-05-20 09:17:35.051
ProcessGuid: {2bd09a4a-48ae-682c-c200-000000002200}
ProcessId: 5872
Image: C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe
TargetFilename: C:\Windows\SystemTemp\__PSScriptPolicyTest_pcwxoen3.nv3.ps1
CreationUtcTime: 2025-05-20 09:17:35.051
User: NT AUTHORITY\SYSTEM"
Information	20-05-2025 14:47:08	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: -
UtcTime: 2025-05-20 09:16:57.442
ProcessGuid: {2bd09a4a-4888-682c-4100-000000002200}
ProcessId: 2688
Image: C:\Windows\system32\svchost.exe
TargetFilename: C:\Windows\System32\wbem\Repository\WRITABLE.TST
CreationUtcTime: 2025-05-20 09:16:57.442
User: NT AUTHORITY\SYSTEM"
Information	20-05-2025 14:47:07	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: T1053
UtcTime: 2025-05-20 09:16:52.612
ProcessGuid: {2bd09a4a-4884-682c-1a00-000000002200}
ProcessId: 1304
Image: C:\Windows\system32\svchost.exe
TargetFilename: C:\Windows\Tasks\SA.DAT
CreationUtcTime: 2025-03-30 05:23:04.934
User: NT AUTHORITY\SYSTEM"
Information	20-05-2025 14:19:46	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: -
UtcTime: 2025-05-20 08:49:46.038
ProcessGuid: {2bd09a4a-4228-682c-9d01-000000002100}
ProcessId: 3748
Image: C:\Windows\system32\DrvInst.exe
TargetFilename: C:\Windows\System32\drivers\Msft_User_WpdFs_01_11_00.Wdf
CreationUtcTime: 2025-05-20 08:49:46.038
User: NT AUTHORITY\SYSTEM"
Information	20-05-2025 14:19:44	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: -
UtcTime: 2025-05-20 08:49:44.735
ProcessGuid: {2bd09a4a-4228-682c-9d01-000000002100}
ProcessId: 3748
Image: C:\Windows\system32\DrvInst.exe
TargetFilename: C:\Windows\System32\DriverStore\FileRepository\wpdfs.inf_amd64_b8c9b6d9bf8b81b7\wpdfs.PNF
CreationUtcTime: 2025-05-20 08:49:44.735
User: NT AUTHORITY\SYSTEM"
Information	20-05-2025 14:14:31	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 08:44:31.007
ProcessGuid: {2bd09a4a-3e7c-682c-5300-000000002100}
ProcessId: 3260
Image: C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25030.2-0\MsMpEng.exe
TargetFilename: C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{0249DCF7-73DB-4FCB-9B82-BBCE8D3D3D27}\mpengine.dll
CreationUtcTime: 2025-05-20 08:44:31.007
User: NT AUTHORITY\SYSTEM"
Information	20-05-2025 14:14:30	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: EXE
UtcTime: 2025-05-20 08:44:30.022
ProcessGuid: {2bd09a4a-3e81-682c-6100-000000002100}
ProcessId: 3416
Image: C:\Windows\system32\svchost.exe
TargetFilename: C:\Windows\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.429.81.0.exe
CreationUtcTime: 2025-05-20 08:44:30.022
User: NT AUTHORITY\SYSTEM"
Information	20-05-2025 14:04:50	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: -
UtcTime: 2025-05-20 08:34:50.680
ProcessGuid: {2bd09a4a-3ea8-682c-be00-000000002100}
ProcessId: 5996
Image: C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe
TargetFilename: C:\Windows\SystemTemp\__PSScriptPolicyTest_eugxhdcc.4zn.ps1
CreationUtcTime: 2025-05-20 08:34:50.680
User: NT AUTHORITY\SYSTEM"
